Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],$Context,$Status
Science/TechNodes/Descriptions/tNode_2v_construction_02,Text,,Another batch of odds and ends to build things out of.,Un autre tas de trucs et de bidules pour construire des choses.,Un'altra infornata di chincaglierie per costruire cose.,"Eine weitere Ladung an Kram, aus dem man Sachen bauen kann.",Otro lote de chismes con los que construir cosas.,あれこれ作るためのまた新しいガラクタの束。,새로운 물건을 만들기 위한 또 다른 잡동사니입니다.,Kolejna partia różności do budowania różności.,"Еще одна партия всякой всячины, из которой можно делать штуки.",又一批用来建造东西的零碎物品。,Mais uma leva de um monte de geringonça para construir coisas com elas.,另一批可用於建造的零碎物品。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_decouplers_01,Text,,When you just have to say goodbye.,Quand il faut vraiment se quitter.,Quando è arrivato il momento di dirsi addio.,Wenn man einfach „Auf Wiedersehen“ sagen muss.,Para las despedidas.,たださよならを告げなければいけないときに。,작별 인사를 해야 할 때입니다.,Gdy musisz się pożegnać.,"Для тех случаев, когда все-таки нужно прощаться.",当你不得不说再见的时候。,Quando você só precisa dizer adeus.,當你不得不說再見時。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_docking,Text,,Parts to help bring Kerbals closer together!,Des pièces pour rapprocher les Kerbals !,Parti per aiutare i kerbal a riavvicinarsi!,"Teile, die helfen sollen, Kerbals zusammenzubringen!",Piezas para que los kerbals estén más unidos.,カーバル同士をお近づきにしてくれるパーツ！,커벌들이 서로 가까워질 수 있도록 해주는 부품입니다.,Części do łączenia Kerbali!,Эти штуки сближают кербалов!,帮助坎巴拉人拉近距离的部件！,Peças para ajudar a aproximar os Kerbals!,有助於拉近坎巴拉人之間距離的零件！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_electronics_01,Text,,Remember to wear insulated gloves.,Pensez aux gants isolants.,Ricorda di indossare guanti isolanti.,"Denk dran, isolierte Handschuhe zu tragen.",Recuerda ponerte guantes aislantes.,必ず絶縁手袋をつけてください。,절연 장갑을 착용하는 것을 잊지 마세요.,Pamiętaj o rękawicach ochronnych.,Не забудьте надеть защитные перчатки.,记得戴上绝缘手套。,Lembre-se de usar luvas com isolamento.,記得戴上絕緣手套。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_electronics_02,Text,,Powerful antenna and some batteries to keep them running.,Des antennes puissantes et quelques piles pour les faire fonctionner.,Un'antenna potente e alcune batterie per non restare a secco.,"Eine starke Antenne und ein paar Batterien, um sie am Laufen zu halten.",Una antena potente y algunas baterías para que siga funcionando.,パワフルなアンテナとアンテナを稼働させ続けるためのバッテリー。,강력한 안테나와 이를 위해 필요한 배터리입니다.,"Potężne anteny i trochę bateryjek, żeby działały.","Мощная антенна и батареи, чтобы эти штуки продолжали работать.",强大的天线和几块电池就能让它们维持运转了。,Antena poderosa e umas baterias para elas funcionarem.,強大的天線和一些電池以維持其運作。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_hydrogen,Text,,"The Nuclear Engine for Rocket Vehicles, or NERV is a very efficient new type of engine. Even more exciting is that the NERV uses hydrogen for fuel, which has significantly less mass than methalox, making it quite useful for deep space missions. Ignore the green glow, it’s perfectly safe.",Ne faites pas attention à la lueur verdâtre. Ce moteur est absolument sans aucun danger.,Ignora il bagliore verdognolo: questo motore è sicurissimo.,"Beachte das grüne Leuchten gar nicht, dieses Triebwerk ist absolut sicher.",Ni caso al brillo de tono verdoso. El motor está perfectamente.,緑っぽく光っているのは無視してください。このエンジンは絶対安全です。,녹색섬광은 무시하세요. 이 엔진은 완벽하게 안전합니다.,"Nie zwracaj uwagi na zieloną poświatę, ten silnik jest całkiem bezpieczny.","Не обращайте внимания на зеленоватое свечение, этот двигатель абсолютно безопасен.",别太在意那绿油油的光，这部引擎绝对安全。,"Ignore o brilho esverdeado, esse motor é totalmente seguro.",別看它泛著綠光，這台引擎可是絕對安全的。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_payload,Text,,All sorts of parts to carry other parts and even some hitchhikers!,Toutes sortes de pièces pour transporter d'autres pièces et même des voyageurs galactiques !,Parti di ogni risma per trasportare altre parti e anche qualche autostoppista!,"Alle möglichen Teile, mit denen sich andere Teile transportieren lassen – und sogar Anhalter!",¡Todo tipo de piezas para llevar otras piezas e incluso a algunos autoestopistas!,他のパーツを運ぶためのありとあらゆるパーツ。ヒッチハイカーだって運べます！,다른 부품이나 히치하이커를 수송할 수 있는 모든 종류의 부품입니다!,"Różne części do przewożenia części, a nawet autostopowiczów!","Самые разные детали, чтобы везти другие детали и даже автостопщиков!",各种各样能搭载其他部件的部件，甚至还能搭个顺风车！,Todo tipo de peça para transportar outras peças e até mesmo mochileiros!,各式各樣的零件可攜帶其他零件，甚至還有一些搭便車的人！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_rockets_01,Text,,Power? What can go wrong?,Plus de puissance ? Et pourquoi pas ?,Potenza? E che problema c'è?,Leistung? Was soll da schon schiefgehen?,¿Potencia? No veo fallas en su lógica.,パワー？ だいじょうぶ、だいじょうぶ。,출력? 높아서 나쁠 게 있나요?,Moc? Co może pójść nie tak?,Энергия? Что может пойти не так?,动力？能出什么错？,Energia? O que poderia dar errado?,動力？會出什麼問題？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_rockets_02,Text,,Providing the best view on your craft!,La plus belle vue de votre vaisseau !,La miglior vista possibile dal tuo veicolo!,Bietet den besten Ausblick von deinem Fahrzeug aus!,¡Las mejores vistas para tu nave!,あなたの宇宙船で最高の眺めを提供します！,여러분의 기체에 최고의 뷰를 선사하세요!,Zapewniają najlepszy widok twojego statku.,Лучший вид на ваш аппарат!,为你的航天器提供最佳视野！,Oferecendo a melhor vista da sua nave!,為你的飛行器提供最佳視野！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_rockets_03,Text,,Moar Power!,On a plus de puissance !,Più potenza!,Meeeehr Leistung!,¡Más potencia!,モアパワー！,더어 많은 추려억!,Wincy mocy!,Больше энергии!,更多能源！,Mais energiaaaa!,更強大的動力！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_rockets_04,Text,,Turning your craft using just an engine? Is that even possible?,Faire tourner son vaisseau avec un seul propulseur ? Quelle est cette sorcellerie ?,Manovrare il tuo veicolo usando solo un motore? È possibile?,Dein Fahrzeug einfach nur mit dem Triebwerk ausrichten? Ist das überhaupt möglich?,¿Girar la nave con un solo motor? ¿Acaso es posible?,エンジンだけを使って機体の向きを変える？ そんなことが可能？,엔진만으로 기체를 돌리나요? 그게 가능하긴 해요?,Obracanie statku za pomocą samego silnika? To tak się da?,Поворачивать аппарат только с помощью двигателя? А это вообще возможно?,只用一个引擎就能启动你的航天器？这真的可能吗？,Virar a nave com apenas um motor? Isso é possível?,只靠一個引擎就能讓飛行器轉彎？這可能嗎？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_rover,Text,,"For your off-world, off-road driving pleasure.",Pour vos envies de hors-piste interplanétaire.,Per goderti una guida fuoristrada e fuori dal pianeta.,Für Fahrspaß abseits der Straße ... und abseits des Planeten.,Para que disfrutes de la conducción todoterreno.,オフワールドの、オフロードドライビングの楽しみのために。,"여러분의 오프월드, 오프로드 주행의 즐거움을 위하여.",Do jazdy terenowej po nieziemskim terenie.,"Для тех, кто любит кататься по ухабам и космическому бездорожью.",在外星畅享越野乐趣。,"Para o seu prazer de dirigir, seja fora da estrada ou fora do planeta.",為你帶來外星、越野的駕駛樂趣。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_science_01,Text,,Want to know if you can take your helmet off?,Vous voulez savoir si vous pouvez enlever votre casque ?,Vuoi sapere se puoi toglierti il casco?,"Willst du wissen, ob du deinen Helm abnehmen kannst?",¿Quieres saber si te puedes quitar el casco?,ヘルメットを外しても大丈夫か知りたいですか？,헬멧을 벗어도 되는지 알고 싶나요?,"Chcesz wiedzieć, czy można tu zdjąć hełm?","Хотите знать, можно ли снять шлем?",想知道能不能把头盔摘了？,Quer saber se você pode tirar o capacete?,想知道能否摘下頭盔嗎？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_science_02,Text,,Keeping your science equipment dry at any depth!,Gardez votre équipement scientifique au sec à toute profondeur.,Per tenere la tua attrezzatura scientifica asciutta a qualsiasi profondità.,Hält deine wissenschaftliche Ausrüstung bei jeder Tiefe trocken.,Para mantener seco tu equipo científico a cualquier profundidad.,どんな深さでも科学機器を濡らさずにキープします。,어떤 깊이에서도 여러분의 과학 장비를 건조하게 유지합니다.,Niech twoje przyrządy naukowe pozostaną suche na każdej głębokości.,"Ваше оборудование не промокнет, на какую бы глубину вы ни опустились.",无论多深都能让你的科学仪器保持干燥,Mantendo o seu equipamento científico seco em qualquer profundidade.,在任何深度都能讓科學設備保持乾燥,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_science_03,Text,,It is important that we develop a large-scale science lab for our space program. Think of how much science we can learn if we could study individual regions on a planet or moon from low orbit! That should be well worth the cost in snacks.,Il est important que nous développions un labo scientifique à grande échelle pour notre programme spatial. Pensez à tout ce que nous pourrions apprendre si nous pouvions étudier des régions individuelles d’un corps céleste depuis une orbite basse ! Cela devrait valoir le coût en chips.,È importante sviluppare un laboratorio di scienza su larga scala per il nostro programma spaziale. Pensa a quanta scienza potremmo assimilare studiano le singole regioni di un pianeta o di una luna dalla orbita bassa! Ne varrebbe il costo delle merendine.,"Es ist wichtig, dass wir ein groß angelegtes Wissenschaftslabor für unser Weltraumprogramm entwickeln. Stell dir vor, wie viel Wissenschaft wir lernen könnten, wenn wir einzelne Regionen eines Planeten oder eines Mondes aus einer niedrigen Umlaufbahn untersuchen könnten! Das sollte die Kosten für Snacks auf jeden Fall wert sein.",Es importante que desarrollemos un laboratorio científico a gran escala para nuestro programa espacial. Piensa en todo lo que aprenderíamos si pudiéramos estudiar cada región de un planeta o de la Muna desde la órbita baja. Bien valdría su precio en aperitivos.,宇宙開発の規模を拡大するために研究は欠かせません。 想像してみてください、もしも低軌道から惑星や月の別々のエリアを調べることができたらどれほどの研究が進むでしょうか！充分におやつを払う価値がありますね。,[ko-kr] It is important that we develop a large-scale science lab for our space program. Think of how much science we can learn if we could study individual regions on a planet or moon from low orbit! That should be be well worth the cost in snacks.,"To ważne by opracować laboratorium działające na dużą skalę. Pomyśl ile moglibyśmy się nauczyć, gdybyśmy mogli studiować indywidualne regiony planety czy księżyca z niskiej orbity! To powinno być warte swojej ceny w przekąskach.","Очень важно иметь широкомасштабную научную лабораторию для нашей космической программы. Представьте себе, сколько мы cможем узнать, изучая со своей орбиты отдельные регионы на планете или луну! Это вполне окупит все затраты!",重要的是我们要为我们的太空计划开发一个大型科学实验室。想想如果我们能从低轨道研究行星或月球上的各个区域，我们能学到多少科学知识！这应该是能值回零食成本的。,É importante que desenvolvamos um laboratório científico de grande escala para o nosso programa espacial. Pense na quantidade de ciência que podemos aprender se pudermos estudar regiões individuais de um planeta ou de uma lua a partir de uma órbita baixa! O custo em lanches vai valer a pena.,為我們的太空計畫開發一個大型科學實驗室非常重要。想像一下，如果我們可以從低軌道研究行星或衛星上的特定區域，我們可以學到多少科學知識！這應該比在零食上的花費值得多了。,Tech Node Description,Ready to Loc
Science/TechNodes/Descriptions/tNode_2v_trusses_01,Text,,Larger trusses mean larger ships.,Qui dit plus grosse structure de maintien dit plus gros vaisseau.,Travature più grandi uguale veicoli più grandi.,Größere Traversen bedeuten größere Schiffe.,"Cuanto más grande el armazón, mayor la nave.",トラスが大きければ、船も大きくなります。,더 큰 트러스는 더 큰 기체를 의미합니다.,Większe kratownice oznaczają większe statki.,"Чем больше фермы, тем больше корабль.",更大的桁架意味着更大的飞船。,"Treliças maiores, naves maiores.",桁架越大，太空船就越大。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_trusses_02,Text,,All sorts of fun ways to attach trusses.,Fixer une structure de maintien n'a jamais été aussi amusant !,Collegare travature non è mai stato così divertente.,"Jede Menge lustige Wege, Traversen anzubringen.",Toda clase de divertidas formas de acoplar armazones.,トラスを取り付けるためのありとあらゆる楽しい方法。,트러스를 부착하는 모든 종류의 재밌는 방법입니다.,Wszystkie zabawne sposoby łączenia kratownic.,Самые интересные способы прикрепления ферм.,连接桁架乐趣多多。,Muitas maneiras divertidas de conectar treliças.,各種有趣的樑架連接方式。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_utility,Text,,We’re providing you with a ladder. Don’t forget to bring it along.,On vous fournit l'échelle. Essayez de ne pas l'oublier.,Ti forniamo una scaletta. Ricorda di portarla a bordo.,"Wir stellen dir eine Leiter. Vergiss nicht, sie mitzunehmen.",Te estamos dando una escalera. No te olvides de cogerla.,ハシゴをご用意してあります。忘れずに持って行ってください。,여러분께 사다리를 제공하고 있습니다. 꼭 챙겨가세요.,Dajemy ci drabinę. Nie zapomnij zabrać jej ze sobą.,Мы дадим вам лестницу. Не забудьте взять ее с собой.,我们会为你提供梯子，别忘了带上。,Nós providenciamos uma escada para você. Não esqueça de levá-la.,我們為你準備了梯子。別忘了帶上它。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_aero_01,Text,,"Big, pointy parts for your craft.",De grosses pièces pointues pour votre vaisseau.,Grosse parti appuntite per il tuo veicolo.,"Große, spitze Teile für dein Fahrzeug.",Piezas grandes y puntiagudas para tu nave.,あなたの宇宙船のための大きな尖ったパーツ。,여러분의 기체에 사용할 크고 뾰족한 부품입니다.,Wielkie spiczaste części.,Большие заостренные детали для вашего корабля.,又大又尖的部件，为你的航天器所用。,Peças grandes e pontudas para a sua nave.,巨大且尖銳的飛行器零件。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_aero_02,Text,,"Strap yourself in and hold on tight. Things are about to get really, really fast!",Accrochez votre ceinture et cramponnez-vous bien. On va passer la vitesse supérieure !,Allaccia le cinture e tieniti forte. Su i motori!,"Schnall dich an und halt dich fest, denn jetzt wird es wirklich, wirklich schnell!","¡Ponte el cinturón y agárrate fuerte, porque vamos a salir volando!",ベルトをしっかり締めてください。本当に本当に猛スピードになりますから！,안전띠를 하고 꽉 붙잡으세요. 정말 정말 빨라질 거예요.,Zapnij pasy i trzymaj się powietrza. Zaraz polecimy naprawdę szybko!,"Пристегните ремни и держитесь крепко. Эта штука полетит очень, очень быстро!",系好安全带，坐稳。马上就会非常、非常快了！,"Aperte o cinto e segure firme. Agora a coisa vai ficar muito, muito rápida!",繫好安全帶，抓緊了。一切就要變得非常非常快了！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_aero_03,Text,,Ever want to fly around the planet? Now you can.,Vous avez déjà voulu faire le tour de la planète en volant ? Maintenant c'est possible !,Hai mai voluto volare intorno al pianeta? Ora puoi farlo.,Wolltest du schon mal um den Planeten fliegen? Jetzt kannst du das.,¿Alguna vez has querido volar alrededor del planeta? Ahora puedes hacerlo.,惑星の周りを飛んでみたくありませんか？ 今なら可能です。,행성을 비행하고 싶으시다고요? 자 이제 가능합니다.,Marzy ci się oblot całej planety bez postoju? Działaj.,Вам когда-нибудь хотелось облететь вокруг планеты? Теперь у вас есть шанс это сделать.,有没有想过绕着星球飞行？现在你的梦想成真了。,Sempre sonhou em voar pelo planeta? Agora você pode.,你是否曾經想過環繞行星飛行？現在你可以了。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_aero_04,Text,,Because spaceplanes are one of the coolest things you can build.,Vous ne construirez jamais rien de plus cool qu'un avion spatial.,Perché gli spazioplani sono tra le cose migliori che puoi costruire.,"Weil Weltraumflugzeuge eine der coolsten Sachen sind, die man bauen kann.",Porque los aviones espaciales son una de las cosas más molonas que puedes construir.,宇宙船はあなたが作れる世界で一番カッコいいもののひとつなので。,우주선은 여러분이 만들 수 있는 가장 멋진 물건 중 하나이기 때문입니다.,"Samoloty kosmiczne należą do najbardziej czaderskich rzeczy, jakie można budować.",Космопланы — самые крутые штуки в мире.,因为航天器是你所能建造的最酷的东西。,Porque aviões espaciais são uma das coisas mais legais de se construir.,因為太空飛機是你能製造的最酷的東西之一。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_aero_05,Text,,Enough fuel to circumnavigate a planet... twice.,Assez de carburant pour faire le tour d'une planète... deux fois.,Carburante a sufficienza per circumnavigare il pianeta... due volte.,"Genug Treibstoff, um einen Planeten zu umrunden ... und zwar zweimal.",Combustible suficiente para circunnavegar un planeta... dos veces.,惑星をぐるりと…2回周るのに十分な燃料。,행성을 일주할 만큼 충분한 연료입니다... 두 번이나요.,"Wystarczająco dużo paliwa, by oblecieć całą planetę. Dwa razy.","Этого топлива хватит, чтобы облететь вокруг планеты... дважды.",燃料足以环绕星球航行……两次。,Combustível suficiente para circum-navegar um planeta... duas vezes.,足夠繞行一顆行星…兩圈的燃料。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_construction_01,Text,,Now you can have even more fun with trusses.,De quoi s'amuser encore plus avec les structures de maintien !,Ora puoi divertirti ancora di più con le travature.,Jetzt kannst du noch mehr Spaß mit Traversen haben.,Ahora puedes divertirte el doble con los armazones.,これでトラスをもっと楽しむことができます。,이제 트러스를 통해 더 많은 즐거움을 누릴 수 있습니다.,Teraz masz jeszcze więcej zabawy z kratownicami.,Теперь фермы доставят вам еще больше веселья.,从此以后，桁架能为你带来更多乐趣了。,Agora você pode se divertir ainda mais com treliças.,現在你可以更盡情地享受桁架的樂趣。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_decouplers_01,Text,,Large explosive decouplers! Boom!,Des gros découpleurs explosifs ! Boum !,Grandi disaccoppiatori esplosivi! Boom!,"Große, explosive Entkoppler! Bumm!",¡Grandes desacopladores explosivos! ¡Bam!,大きな爆発性デカプラー！ ドカーン！,대형 폭발성 디커플러! 쾅!,Wielkie wybuchowe rozdzielacze! Bum!,Большие взрывающиеся отделители! Ба-бах!,超大的爆炸分离器！砰！,Desacopladores de explosivos grandes! Bum!,大型爆炸解耦器！砰！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_docking_01,Text,,"Helping bring Kerbals together, magnetically!","Pour rapprocher les Kerbals, maintenant avec des aimants !",Aiutiamo a riavvicinare i kerbal con il potere del magnetismo!,Führt Kerbals zusammen – magnetisch!,¡Para que los kerbals se unan magnéticamente!,カーバルをくっつけるのに役立ちます。磁力でね！,자력을 통해 커벌을 하나로 모을 수 있습니다!,Ten zwierzęcy magnetyzm między Kerbalami można wykorzystać.,Сближаем кербалов с помощью магнитов!,借助磁力，帮助所有坎巴拉人联合起来！,"Ajudando os Kerbals a se aproximarem, magneticamente!",助坎巴拉人透過磁力互相靠近！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_electronics_01,Text,,They can pilot a ship and beat you at your own game.,Ils peuvent piloter un vaisseau et vous battre à votre propre jeu.,Possono pilotare un veicolo e batterti al tuo stesso gioco.,Sie können ein Schiff fliegen und dich einfach ersetzen.,Pueden pilotar una nave y hacerlo mejor que tú.,宇宙船を操縦し、あなたのお株を奪ってあなたを打ち負かすことができます。,"그것은 기체를 조종할 수 있을 뿐만 아니라, 여러분과의 게임에서 여러분을 이길 수 있습니다.",Potrafią pilotować statki i tłumaczyć teksty.,Они могут управлять кораблем и обыграть вас в вашу же игру.,他们能驾驶飞船并做到青出于蓝而胜于蓝。,Eles podem pilotar uma nave e te vencer no seu próprio jogo.,他們可以駕駛一艘太空船，並在你擅長的遊戲中打敗你。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_electronics_02,Text,,Further advances in the quest for unlimited power.,La quête de la puissance ultime progresse encore.,Nuovi passi in avanti verso un potere illimitato.,Weitere Fortschritte bei der Suche nach unbegrenzter Leistung.,Nuevos avances en la búsqueda de potencia ilimitada.,無限の力を求めてさらに進化します。,무한한 힘을 향한 갈망으로 더욱 발전하게 됩니다.,Dalsze postępy w pościgu za nieograniczoną mocą.,Еще один шаг на пути к неограниченным запасам энергии.,在追求无限动力的路上更进一步。,Mais um avanço na busca por energia ilimitada.,在追求無限動力的探索中進一步取得進展。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_hydrogen_01,Text,,"Large, nuclear, totally safe.","Grand, nucléaire, sans aucun danger.","Grande, nucleare, completamente sicuro.","Groß, atomar, absolut sicher.","Grande, nuclear y totalmente seguro.",大きくて、原子力で、絶対安全。,"대형, 핵, 완벽하게 안전.","Wielkie, jądrowe i całkiem bezpieczne.","Большой, ядерный, абсолютно безопасный.",不仅大，还是核能的，绝对安全。,"Grande, nuclear, muito seguro.",大型、核能、絕對安全。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_payload_01,Text,,Trusses that store stuff for folks who need every part to serve a purpose.,Des structures de maintien avec des espaces de stockage pour les Kerbals qui aiment que chaque pièce serve à quelque chose.,Travature che contengono cose per chi vuole che ogni parte abbia uno scopo.,"Traversen, in denen man Sachen verstauen kann – für Leute, bei denen jedes Teil einen Zweck erfüllen muss.",Armazones que almacenan cosas para gente que necesita que cada pieza sirva para algo.,目的を果たすためにすべてのパーツを必要とする人々のための収納トラス。,임무 달성을 위해 필요한 모든 부품을 보관하는 트러스입니다.,"Kratownice, w których można trzymać rzeczy. Dla tych, co uważają, że każda część statku powinna coś robić.","Фермы, в которых можно хранить разное добро. Для тех, у кого каждая деталь должна играть свою роль.",为那些需要每个部件物尽其用的人储存物品的桁架。,Treliças que armazenam coisas para quem acha que toda peça precisa ter uma utilidade prática.,讓需要每個零件都有用途的人有地方存放物品的桁架。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_payload_02,Text,,Designed to hold massive amounts of snacks and some Kerbals!,Conçu pour contenir d'énormes quantités de chips plus quelques Kerbals !,Progettato per contenere enormi quantità di merendine e qualche kerbal!,"Ausgelegt darauf, jede Menge Snacks zu transportieren ... und ein paar Kerbals!",¡Diseñado para almacenar cantidades ingentes de aperitivos y hasta varios kerbals!,大量のおやつとカーバル数人を収納できる設計です！,엄청난 양의 스낵과 몇몇 커벌을 수송할 수 있도록 설계되었습니다!,Pomieszczą ogromne ilości przekąsek i trochę Kerbali!,"Эти штуки предназначены для того, чтобы хранить огромное количество вкусняшек и еще пару кербалов!",设计的初衷是为了容纳海量的零食和许多坎巴拉人！,Projetado para armazenar uma quantidade enorme de lanches e alguns Kerbals!,專為容納大量零食和一些坎巴拉人而設計！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_rockets_01,Text,,Specializing in even bigger and better controlled explosions.,Leur spécialité ? Des explosions toujours plus grosses et toujours plus contrôlées.,Specializzata in esplosioni ancora più grandi e controllate.,Spezialisiert auf noch größere und besser kontrollierte Explosionen.,Especializados en explosiones aún más grandes y mejor controladas.,より大きくより制御しやすい爆発に特化しています。,더 크고 더 안정적인 폭발에 특화시켰습니다.,Specjalnie do jeszcze większych i lepiej kontrolowanych wybuchów.,Специализируемся на еще более мощных и еще более управляемых взрывах.,专攻规模更大、更好控制的爆炸。,Especializando-se em explosões controladas ainda maiores e melhores.,專門用於更大、更精準控制的爆炸。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_rockets_02,Text,,How big can a rocket engine get? You're about to find out!,C'est quoi la taille maximale d'un propulseur de fusée ? Vous allez voir !,Quanto può essere grosso un motore a razzo? Stai per scoprirlo!,Wie groß kann ein Raketentriebwerk werden? Das wirst du bald herausfinden!,¿Que qué tamaño puede alcanzar el motor de un cohete? ¡Ahora lo verás!,ロケットエンジンはどこまで大きくなれるのでしょうか？ 今にわかります！,로켓 엔진은 얼마나 더 커질 수 있을까요? 곧 알게 될 것입니다!,Jak wielki może być silnik rakietowy? Zaraz się dowiesz.,Насколько большим может быть ракетный двигатель? Скоро вы узнаете?,火箭引擎能有多大？你马上就会知道了！,Até que tamanho o motor de foguete pode chegar? Você está prestes a descobrir!,火箭引擎能有多大？你馬上就會知道！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_rockets_03,Text,,Designed for some serious distance.,Conçu pour les vraies longues distances.,Progettato per coprire distanze notevoli.,"Entwickelt, um ordentlich Distanz aufzubauen.",Diseñado para larguísimas distancias.,本格的な飛距離のために設計されました。,심각할 정도로 먼 거리를 비행하기 위해 설계되었습니다.,Latają naprawdę daleko.,Эта штука рассчитана на серьезные расстояния.,设计用于很远的距离。,Feito para distâncias absurdamente distantes.,專為遠距離飛行而設計。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_rockets_04,Text,,"The friendliest, cuddliest engines around.",Les propulseurs les plus sympas et mignons qui soient.,I motori più amichevoli e coccolosi in circolazione.,"Die nettesten, knuddeligsten Triebwerke, die es gibt.",Los motores más simpáticos y adorables.,最もフレンドリーで抱きしめたくなるエンジン。,가장 친근하면서 가장 사랑스러운 엔진입니다.,Najbardziej przyjazne i przytulaśne silniki na rynku.,Самые милые и дружелюбные двигатели в мире.,最友好、最惹人喜爱的引擎。,O motor mais amigável e amoroso do mercado.,最友善、最可愛的引擎。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_3v_trusses_01,Text,,Just when you thought you had enough trusses.,Vous pensiez avoir toutes les structures de maintien qu'il vous fallait ?,Proprio quando pensavi di avere travature a sufficienza.,"Gerade, als du dachtest, du hättest genug Traversen ...",Por si pensabas que tenías suficientes armazones.,トラスはもう十分だと思ったら。,트러스가 충분하다고 생각했을 때.,"A już ci się wydawało, że masz dosyć kratownic.",Ферм много не бывает.,当你以为桁架已经够多的时候，现实让你出乎意料。,Justo quando você pensou que não precisava de mais treliças.,就在你以為自己已經有夠多桁架時。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_construction_01,Text,,"Tubes, adapters, and nose cones, oh my!","Des tubes, des adaptateurs, des coiffes de protection... N'en jetez plus !","Tubi, adattatori e ogive. Be', che dire!","Röhren, Adapter und Bugnasen, meine Güte!","Tubos, adaptadores y narices cónicas... ¡Madre mía!",チューブ、アダプター、ノーズコーン、ああ、なんてこと！,"튜브, 어댑터, 노즈콘, 이런!","Rury, przejściówki i stożki dziobowe, ojejku jejku!","Трубки, адаптеры, носовые обтекатели, мама дорогая!",管道、转接器和头锥，天啊！,"Tubos, adaptadores e cones dianteiros. Uau!",管子、適配器和鼻錐，哇喔！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_decouplers_01,Text,,Decouplers that pack quite a wallop.,Des découpleurs sérieux.,Disaccoppiatori che sanno il fatto loro.,Entkoppler mit ordentlich Wumms.,Desacopladores de lo más potentes.,効き目ばっちりのデカプラー。,꽤 강력한 성능을 발휘하는 디커플러입니다.,"Rozdzielacze, które dają kopa.",Невероятно мощные отделители.,效果强劲的分离器。,Desacopladores com potência para dar e vender.,具有相當大威力的解耦器。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_docking_01,Text,,So much more than just a ring.,Ce n'est pas un simple anneau.,Molto più di un semplice anello.,So viel mehr als nur ein Ring.,Mucho más que un anillo.,ただのリングをはるかに上回ります。,반지 그 이상의 것입니다.,To dużo więcej niż zwykły pierścień.,Это совсем не просто кольцо.,不仅仅是一个环。,Muito mais do que um simples anel.,這肯定不僅是一個環。,Tech Node Description,Ready to Test
